,id,entrydate,name,symbol,sector,position,entryprice,entrylots,entryrisk,entryrisk_ticks,commission,#exits,exit(0)_date,exit(0)_price,exit(0)_lots,exit(0)_profit,exit(0)_profit_ticks,exit(0)_duration,exit(0)_type,exitdate,profit,profit_ticks,duration,result,currentprice,stopprice,risk,risk_ticks,lots,flame,on_fire
18,19,2002-08-02,NYMEX Gold,GC,metal,Long,676.10078125,2,1460.0,73,5.98,1,2002-10-15,682.30078125,2.0,1240.0,62.0,74.0,stop,2002-10-15,1240.0,62,74.0,WIN,682.30078125,682.30078125,0.0,0,0,0.0,False
19,20,2002-08-06,CME Australian Dollar AUD,AD,currency,Long,0.17510042543411256,2,400.0,40,5.98,1,2002-08-06,0.17310041189193726,2.0,-400.0,-40.0,0.0,stop,2002-08-06,-400.0,-40,0.0,LOSE,0.17310041189193726,0.17310041189193726,0.0,0,0,-0.0,False
20,21,2002-08-07,CME Australian Dollar AUD,AD,currency,Long,0.18035044708251954,2,1450.0,145,5.98,1,2003-07-15,0.31420040130615234,2.0,26770.0,2677.0,342.0,stop,2003-07-15,26770.0,2677,342.0,WIN,0.31420040130615234,0.31420040130615234,0.0,0,0,0.0,False
21,22,2002-09-17,CBOT Soybean Oil,BO,grain,Long,38.71000671386719,2,540.0,45,5.98,1,2002-09-19,38.26000213623047,2.0,-540.0,-45.0,2.0,stop,2002-09-19,-540.0,-45,2.0,LOSE,38.26000213623047,38.26000213623047,0.0,0,0,-0.0,False
22,23,2002-09-20,CBOT Soybean Oil,BO,grain,Long,38.24000366210937,2,132.0,11,5.98,1,2002-09-20,38.1300048828125,2.0,-132.0,-11.0,0.0,stop,2002-09-20,-132.0,-11,0.0,LOSE,38.1300048828125,38.1300048828125,0.0,0,0,-0.0,False
23,24,2002-09-23,CBOT Soybean Oil,BO,grain,Long,38.31000518798828,2,228.0,19,5.98,1,2002-09-23,38.12000274658203,2.0,-228.0,-19.0,0.0,stop,2002-09-23,-228.0,-19,0.0,LOSE,38.12000274658203,38.12000274658203,0.0,0,0,-0.0,False
24,25,2002-09-24,CBOT Soybean Oil,BO,grain,Long,38.320008544921876,2,240.0,20,5.98,1,2002-10-02,38.12000274658203,2.0,-240.0,-20.0,8.0,stop,2002-10-02,-240.0,-20,8.0,LOSE,38.12000274658203,38.12000274658203,0.0,0,0,-0.0,False
25,26,2002-09-24,CBOT Corn,C,grain,Long,504.5,2,264.0,11,5.98,1,2002-09-30,501.75,2.0,-264.0,-11.0,6.0,stop,2002-09-30,-264.0,-11,6.0,LOSE,501.75,501.75,0.0,0,0,-0.0,False
26,27,2002-10-01,CBOT Corn,C,grain,Long,499.5,2,192.0,8,5.98,1,2002-10-11,497.5,2.0,-192.0,-8.0,10.0,stop,2002-10-11,-192.0,-8,10.0,LOSE,497.5,497.5,0.0,0,0,-0.0,False
27,28,2002-10-03,CBOT Soybean Oil,BO,grain,Long,37.97000244140625,2,132.0,11,5.98,1,2002-10-03,37.860008239746094,2.0,-132.0,-11.0,0.0,stop,2002-10-03,-132.0,-11,0.0,LOSE,37.860008239746094,37.860008239746094,0.0,0,0,-0.0,False
28,29,2002-10-04,CBOT Soybean Oil,BO,grain,Long,38.05000213623047,2,228.0,19,5.98,1,2002-10-09,37.860008239746094,2.0,-228.0,-19.0,5.0,stop,2002-10-09,-228.0,-19,5.0,LOSE,37.860008239746094,37.860008239746094,0.0,0,0,-0.0,False
29,30,2002-10-10,CBOT Soybean Oil,BO,grain,Long,37.780004272460936,2,180.0,15,5.98,1,2002-10-10,37.6300048828125,2.0,-180.0,-15.0,0.0,stop,2002-10-10,-180.0,-15,0.0,LOSE,37.6300048828125,37.6300048828125,0.0,0,0,-0.0,False
30,31,2002-10-11,CBOT Soybean Oil,BO,grain,Long,37.89000518798828,2,312.0,26,5.98,1,2002-12-18,39.900001525878906,2.0,2412.0,201.0,68.0,stop,2002-12-18,2412.0,201,68.0,WIN,39.900001525878906,39.900001525878906,0.0,0,0,0.0,False
31,32,2002-10-14,CBOT Corn,C,grain,Long,493.5,2,216.0,9,5.98,1,2002-10-14,491.25,2.0,-216.0,-9.0,0.0,stop,2002-10-14,-216.0,-9,0.0,LOSE,491.25,491.25,0.0,0,0,-0.0,False
32,33,2002-10-15,CBOT Corn,C,grain,Long,497.0,2,552.0,23,5.98,1,2002-11-05,491.25,2.0,-552.0,-23.0,21.0,stop,2002-11-05,-552.0,-23,21.0,LOSE,491.25,491.25,0.0,0,0,-0.0,False
33,34,2002-10-16,NYMEX Gold,GC,metal,Long,682.9007934570312,2,280.0,14,5.98,1,2002-10-17,681.5007934570312,2.0,-280.0,-14.0,1.0,stop,2002-10-17,-280.0,-14,1.0,LOSE,681.5007934570312,681.5007934570312,0.0,0,0,-0.0,False
34,35,2002-10-18,NYMEX Gold,GC,metal,Long,681.90078125,2,660.0,33,5.98,1,2002-10-24,678.600830078125,2.0,-660.0,-33.0,6.0,stop,2002-10-24,-660.0,-33,6.0,LOSE,678.600830078125,678.600830078125,0.0,0,0,-0.0,False
35,36,2002-10-22,NYMEX WTI Crude Oil,CL,petroleum,Long,128.45995239257812,2,820.0,41,5.98,1,2002-10-22,128.04995727539062,2.0,-820.0,-41.0,0.0,stop,2002-10-22,-820.0,-41,0.0,LOSE,128.04995727539062,128.04995727539062,0.0,0,0,-0.0,False
36,37,2002-10-23,NYMEX WTI Crude Oil,CL,petroleum,Long,128.489931640625,2,880.0,44,5.98,1,2002-10-25,128.04995727539062,2.0,-880.0,-44.0,2.0,stop,2002-10-25,-880.0,-44,2.0,LOSE,128.04995727539062,128.04995727539062,0.0,0,0,-0.0,False
37,38,2002-10-25,NYMEX Gold,GC,metal,Long,681.9007934570312,2,860.0,43,5.98,1,2003-02-18,712.5007934570312,2.0,6120.0,306.0,116.0,stop,2003-02-18,6120.0,306,116.0,WIN,712.5007934570312,712.5007934570312,0.0,0,0,0.0,False
38,39,2002-10-28,NYMEX WTI Crude Oil,CL,petroleum,Long,127.45992858886719,2,1120.0,56,5.98,1,2002-10-28,126.89991760253906,2.0,-1120.0,-56.0,0.0,stop,2002-10-28,-1120.0,-56,0.0,LOSE,126.89991760253906,126.89991760253906,0.0,0,0,-0.0,False
39,40,2002-10-29,NYMEX WTI Crude Oil,CL,petroleum,Long,127.5599301147461,2,1320.0,66,5.98,1,2002-10-30,126.89991760253906,2.0,-1320.0,-66.0,1.0,stop,2002-10-30,-1320.0,-66,1.0,LOSE,126.89991760253906,126.89991760253906,0.0,0,0,-0.0,False
40,41,2002-10-31,NYMEX WTI Crude Oil,CL,petroleum,Long,127.49994567871094,2,1380.0,69,5.98,1,2002-11-05,126.80992126464844,2.0,-1380.0,-69.0,5.0,stop,2002-11-05,-1380.0,-69,5.0,LOSE,126.80992126464844,126.80992126464844,0.0,0,0,-0.0,False
41,42,2002-11-06,CBOT Corn,C,grain,Long,490.75,2,216.0,9,5.98,1,2002-11-06,488.5,2.0,-216.0,-9.0,0.0,stop,2002-11-06,-216.0,-9,0.0,LOSE,488.5,488.5,0.0,0,0,-0.0,False
42,43,2002-11-06,NYMEX WTI Crude Oil,CL,petroleum,Long,126.54992248535156,2,1440.0,72,5.98,1,2002-11-06,125.82994079589844,2.0,-1440.0,-72.0,0.0,stop,2002-11-06,-1440.0,-72,0.0,LOSE,125.82994079589844,125.82994079589844,0.0,0,0,-0.0,False
43,44,2002-11-07,CBOT Corn,C,grain,Long,490.75,2,216.0,9,5.98,1,2002-11-08,488.5,2.0,-216.0,-9.0,1.0,stop,2002-11-08,-216.0,-9,1.0,LOSE,488.5,488.5,0.0,0,0,-0.0,False
44,45,2002-11-07,NYMEX WTI Crude Oil,CL,petroleum,Long,126.72993469238281,2,2400.0,120,5.98,1,2002-11-07,125.52992248535156,2.0,-2400.0,-120.0,0.0,stop,2002-11-07,-2400.0,-120,0.0,LOSE,125.52992248535156,125.52992248535156,0.0,0,0,-0.0,False
